slug,path,status,has_template_token,missing_title,missing_description,missing_canonical,missing_h1,jsonld_error,missing_local_images,suspicious_links,message
gyeonggi-ansan-si-34pyeong-living-cleaning,C:\Users\USER\Desktop\웹페이지대량\deploys\gyeonggi-ansan-si-34pyeong-living-cleaning\index.html,OK,False,False,False,False,False,False,0,0,
gyeonggi-ansan-si-34pyeong-living-cleaning-best,C:\Users\USER\Desktop\웹페이지대량\deploys\gyeonggi-ansan-si-34pyeong-living-cleaning-best\index.html,OK,False,False,False,False,False,False,0,0,
gyeonggi-ansan-si-34pyeong-living-cleaning-cost,C:\Users\USER\Desktop\웹페이지대량\deploys\gyeonggi-ansan-si-34pyeong-living-cleaning-cost\index.html,OK,False,False,False,False,False,False,0,0,
gyeonggi-ansan-si-34pyeong-living-cleaning-mold-removal,C:\Users\USER\Desktop\웹페이지대량\deploys\gyeonggi-ansan-si-34pyeong-living-cleaning-mold-removal\index.html,OK,False,False,False,False,False,False,0,0,
gyeonggi-ansan-si-34pyeong-living-cleaning-new-house-syndrome,C:\Users\USER\Desktop\웹페이지대량\deploys\gyeonggi-ansan-si-34pyeong-living-cleaning-new-house-syndrome\index.html,OK,False,False,False,False,False,False,0,0,
gyeonggi-ansan-si-34pyeong-living-cleaning-price,C:\Users\USER\Desktop\웹페이지대량\deploys\gyeonggi-ansan-si-34pyeong-living-cleaning-price\index.html,OK,False,False,False,False,False,False,0,0,
gyeonggi-ansan-si-34pyeong-living-cleaning-professional,C:\Users\USER\Desktop\웹페이지대량\deploys\gyeonggi-ansan-si-34pyeong-living-cleaning-professional\index.html,OK,False,False,False,False,False,False,0,0,
gyeonggi-ansan-si-34pyeong-living-cleaning-recommended,C:\Users\USER\Desktop\웹페이지대량\deploys\gyeonggi-ansan-si-34pyeong-living-cleaning-recommended\index.html,OK,False,False,False,False,False,False,0,0,
gyeonggi-ansan-si-34pyeong-living-cleaning-review,C:\Users\USER\Desktop\웹페이지대량\deploys\gyeonggi-ansan-si-34pyeong-living-cleaning-review\index.html,OK,False,False,False,False,False,False,0,0,
gyeonggi-ansan-si-34pyeong-living-cleaning-same-day,C:\Users\USER\Desktop\웹페이지대량\deploys\gyeonggi-ansan-si-34pyeong-living-cleaning-same-day\index.html,OK,False,False,False,False,False,False,0,0,
